order,center,err_center,wavelength
98,1750.4055375558164,0.017141610762452904,360.668232
98,1796.8408981620194,0.029937264673159054,360.711933
98,1937.257743534727,0.010863424725552087,360.842178
98,2098.0375487222996,0.007683873548638495,360.991087
98,2450.7270728206963,0.005106151281347767,361.314169
98,2533.875670697613,0.254795378745275,361.389679
98,2698.167779105761,0.06511913265269305,361.53841
98,2784.581071393862,0.19591880470662057,361.616359
98,2811.454610972166,0.003322383118648941,361.640412
98,2900.9036864659106,0.00995782036251975,361.720881
98,2958.863934596557,0.0026243312495411943,361.772709
98,3145.5954922289093,0.09680694780543454,361.939506
98,3171.962580324187,0.006941193008059337,361.962855
98,3241.2041685742897,0.03798262893102028,362.024377
98,3425.211609224295,0.0690496785052619,362.187087
98,3492.9745685504026,0.005016452637160558,362.246739
98,3573.1179232955024,0.02392775021279085,362.317
98,3889.3335553839042,0.17485072732560958,362.592854
98,3904.870504382678,0.07823641731053235,362.606281
98,4125.93202084111,0.05536143245240984,362.797295
98,4163.571839844641,0.006561578406091193,362.829761
98,4226.175997741404,0.009845278555197817,362.883238
98,4350.953297535531,0.018663421596585548,362.9902
98,4466.273134727825,0.04384678867748177,363.088483
98,4703.923091886197,0.019099061771504895,363.289829
98,4794.442931838428,0.039147869014789574,363.366055
98,4818.801395494931,0.17277166245435038,363.386589
98,4883.05093767706,0.01655240515225389,363.440543
98,4983.836053671743,0.01129263196356366,363.524924
98,5219.209540681892,0.03159031084461133,363.720916
98,5266.798187676172,0.028832743576017065,363.760308
98,5323.064000793249,0.02316222590146543,363.806769
98,5386.624404008096,0.054748714176367265,363.859231
98,5425.1360285011315,0.0859332770923328,363.890995
98,5518.9619780338635,0.17091585226003148,363.968134
98,5616.911593659118,0.14984918390783208,364.048398
98,5634.3114654143965,0.021109840924916124,364.062613
98,5961.626135138013,2.468019513103704,364.328675
98,6001.737265868173,0.14687772869401702,364.361083
98,6016.433462164635,0.013028019340613282,364.373046
98,6040.862671993796,0.0068250710444812,364.392612
98,6157.343535116568,0.03059749900582451,364.486307
98,6268.23940755873,0.02403982110186883,364.575248
98,6540.800344027694,0.01047090570711638,364.792296
98,6841.20748672999,0.1198543875702993,365.028912
98,6903.2132222150885,0.36594046235569894,365.077472
98,7172.246743342371,0.009864384940712796,365.28681
98,7216.0062444509895,0.13404837260057031,365.320881
98,7514.032860486089,0.14135161232246468,365.550269
98,7742.236403377968,0.017656972187716422,365.724201
97,3588.7387063352153,1.3928558613338016,366.067175
97,1226.5159788407507,0.06724010212409806,363.890995
97,1307.1074880435165,0.10837871458218644,363.968134
97,1391.2174929190896,0.06933493824345766,364.048398
97,1490.219214123704,0.032842352998002255,364.142686
97,1565.9644467028693,0.008416998042016377,364.215082
97,1686.738125658973,0.6967939391867793,364.328675
97,1721.0915687759405,0.022841390927527044,364.361083
97,1821.0129885468946,0.07051363791669306,364.455064
97,2115.867181581482,0.005082428311607311,364.730723
97,2295.2471121902863,0.0055631870569493955,364.89714
97,2438.2981689010203,0.07319065254427412,365.028912
97,2491.1419860277083,0.14561409928559466,365.077472
97,2603.7520280343497,0.03212593118301586,365.180653
97,2617.2682448407777,0.011799460959673767,365.192954
97,2720.1155593709864,0.005840033744322559,365.28681
97,2757.43306357972,0.08926533430086045,365.320881
97,2798.074479107833,0.03191105317369041,365.357798
97,2859.102589965528,0.019830105170639913,365.413197
97,3010.6109798553125,0.08923154003232883,365.550269
97,3101.2819420037463,0.025263598965430643,365.631913
97,3187.2775397580463,0.022114459658378476,365.709102
97,3204.047796177577,0.011682496553073395,365.724201
97,3259.137054398204,0.2256236095836259,365.773543
97,3317.469943484023,0.003913890147194202,365.825877
97,3589.175639060276,1.1795616899360841,366.067175
97,3719.073959545261,0.008081166172752409,366.181966
97,3795.8825262565647,0.013638679752351078,366.249474
97,3856.451363315855,0.046829485091215865,366.302629
97,3967.767839828338,0.01916747610502233,366.400008
97,3995.9009483557156,0.4150926923082894,366.424587
97,4009.0664603549994,0.003397962941431395,366.436224
97,4223.375575670568,0.007954888385975488,366.62249
97,4432.183516996017,0.139875315436337,366.802549
97,4506.73632446801,0.02158647218186641,366.866576
97,4567.263564552175,0.23627520591535173,366.918436
97,4658.0393804905425,0.006555285293091678,366.995918
97,4846.818974303085,0.008170533058904611,367.156555
97,4903.820620720209,0.020159975015357726,367.204958
97,4967.267480715592,0.22102121048661724,367.258518
97,5261.885170731846,0.09297609840169768,367.506076
97,5310.3259182263955,0.003681978883757042,367.546492
97,5366.928740622075,0.09282473633405636,367.593708
97,5448.279377927924,0.4636019942639279,367.661398
97,5474.965302585607,0.13937728108221661,367.683574
97,5600.012265437864,0.008364017648557714,367.786965
97,5632.0884605255,0.010045782934716986,367.813585
97,5658.256334716531,0.005778459651117061,367.835087
97,5711.348003863504,0.022645481783355768,367.878943
97,5801.146833023932,0.08780472906616936,367.95275
97,5931.086970015684,0.13569860824727398,368.059147
97,6218.979622152636,0.04534945138200273,368.293186
97,6633.706560824751,0.08356599393616879,368.626282
97,6856.138818857063,0.03502487453923786,368.803083
97,6924.763388722219,0.027737022342975433,368.857224
97,6943.395734426362,0.07522905035337114,368.871946
97,7302.986878489667,0.03787939291167893,369.153759
97,7421.888653955906,0.4426137602592863,369.246223
97,7447.950575857953,0.16775808163310266,369.266462
97,7548.757331735257,0.05475452184014056,369.34441
97,7571.158666646762,0.4494008099365563,369.361728
96,1226.2698018740145,0.056497238256890556,367.683574
96,1243.9111236764152,0.022094750599474446,367.700619
96,1505.8199901653074,0.05032605173581346,367.95275
96,1617.039424716542,0.04219603829110743,368.059147
96,1863.248820813448,0.02232768798864532,368.293186
96,2014.5213365482018,0.00765055911015276,368.436187
96,2058.086582278096,0.006995808033153778,368.477218
96,2186.9120120342054,0.024045630853378307,368.598175
96,2216.981170383522,0.02820854362229046,368.626282
96,2257.0388293145143,0.005833710566256185,368.663588
96,2286.9965671563937,0.009897327132060079,368.691673
96,2465.007314659999,0.006407373795791829,368.857224
96,2480.784628899236,0.038067319667037365,368.871946
96,2786.1146347122753,0.025604637219486793,369.153759
96,2887.0219090668015,0.19973495004143474,369.246223
96,2909.13834971791,0.06922223236386198,369.266462
96,3088.387156655928,0.010724680451278985,369.429853
96,3211.7977957079856,0.0557700632444884,369.541653
96,3235.4617254591467,0.01545717707390479,369.563099
96,3314.0823489898057,0.07787610839576353,369.634071
96,3390.083196530032,0.030629761459041185,369.702555
96,3465.0220420302694,0.008879528962708647,369.769897
96,3477.9857203351166,0.009297381569934622,369.781495
96,3507.8153238405075,0.01601780538276726,369.808247
96,3560.056475106139,0.006315760158342973,369.854999
96,3628.148512824205,0.1855082857495945,369.915848
96,3700.7865159319977,0.02120112529501219,369.980623
96,3827.7187976576,0.07746022084638006,370.093354
96,3927.8116232907855,0.034179712957666065,370.181824
96,3951.8983309983278,0.2622002981150449,370.203129
96,3965.575550047245,0.05854508959782646,370.215242
96,4022.3688001677983,0.042687517857458335,370.265222
96,4166.399926861833,0.03046418565103837,370.391754
96,4208.163541396288,0.22663982879707212,370.428351
96,4335.370867384091,0.06057101235836305,370.539321
96,4363.34452561054,0.024972258220113834,370.563742
96,4502.215388365352,0.00945365939326667,370.684406
96,4572.815417817828,0.04402701150857556,370.745408
96,4615.344365221486,0.5578613076403816,370.782171
96,4640.915091296158,0.01707578969287028,370.804138
96,4912.142419278462,0.0057955885187989265,371.037032
96,4948.271469815948,0.015707986457359675,371.067891
96,5026.680705173965,0.015562619538565815,371.134737
96,5057.248635758733,0.008294365214162882,371.160719
96,5090.203140046155,0.026648033351320658,371.188674
96,5183.599784285944,0.2070202322956048,371.267871
96,5688.831114223365,0.023199277601112935,371.691852
96,5730.99857279251,0.01035459193753059,371.726956
96,5802.842896858587,0.03661764722279608,371.786518
96,5872.157800620432,0.02529492156158507,371.843909
96,6045.187170673635,0.001883569580439497,371.986544
96,6135.232497034201,0.10408357546250135,372.06042
96,6153.071126406198,0.009711242038090283,372.074981
96,6170.6241291444085,0.2343926024324355,372.089412
96,6187.913488882486,0.20148835554377556,372.10355
96,7137.152264952686,0.17687098382871583,372.867182
96,7173.865847115234,1.1146335270236791,372.896276
96,7487.735456101354,0.2495266587752555,373.142916
