type     name       z        T90
 1       080207A    2.0856    340.    
 1       080129A    4.349      50.22  
 1       071122A    1.14       80.00  
 1       071117A    1.3308      6.07  
 1       071112C    0.8227     15.    
 1       071031A    2.692     150.49  
 1       071021A    2.4515    228.72  
 1       071020A    2.1462      4.30  
 1       071010B    0.947      36.13  
 1       071010A    0.98        6.32  
 1       071003A    1.6043    148.38  
 1       070810A    2.17        9.04  
 1       070802A    2.4538     15.80  
 1       070721B    3.6298    336.86  
 1       070714A    1.58        3.00  
 1       070612A    0.617     365.28  
 1       070611A    2.0394     13.18  
 1       070529A    2.4996    108.90  
 1       070521A    2.0865     38.63  
 1       070518A    1.161       4.35  
 1       070508A    0.82       20.90  
 1       070506A    2.3090      4.35  
 1       070419B    1.9586    238.14  
 1       070419A    0.9705    160.00  
 1       070411A    2.9538    102.04  
 1       070328A    2.0627     72.12  
 1       070318A    0.8401    131.52  
 1       070306A    1.4965    209.24  
 1       070224A    1.9922     48.00  
 1       070223A    1.6295    100.00  
 1       070208A    1.165      64.00  
 1       070129A    2.3384    459.05  
 1       070125A    1.547      70.    
 1       070110A    2.3523     79.71  
 1       070103A    2.6208     18.40  
 1       061222B    3.355      37.25  
 1       061222A    2.088      96.00  
 1       061202A    2.2543     94.19  
 1       061126A    1.1588     50.28  
 1       061121A    1.3145     81.22  
 1       061110B    3.4344    132.76  
 1       061110A    0.7578     44.51  
 1       061021A    0.3453     43.80  
 1       061007A    1.2622     75.74  
 1       060927A    5.4636     22.42  
 1       060926A    3.2090      7.79  
 1       060923B    1.5094      8.95  
 1       060923A    2.6        51.54  
 1       060912A    0.9362      5.03  
 1       060908A    1.8836     18.78  
 1       060906A    3.6856     44.58  
 1       060904B    0.7029    171.90  
 1       060814A    1.9223    144.95  
 1       060805A    2.3633      4.93  
 1       060729A    0.5429    113.04  
 1       060719A    1.5318     66.86  
 1       060714A    2.7108    116.04  
 1       060707A    3.4246     66.65  
 1       060614A    0.125       5.    
 1       060607A    3.0749    102.98  
 1       060605A    3.773     539.12  
 1       060604A    2.1355     96.00  
 1       060602A    0.787      74.68  
 1       060526A    3.2213    275.20  
 1       060522A    5.11       69.12  
 1       060512A    0.4428     11.36  
 1       060510B    4.9       262.95  
 1       060505A    0.0889      4.    
 1       060502A    1.5026     28.54  
 1       060418A    1.4901    109.17  
 1       060319A    1.172       8.91  
 1       060306A    1.5597     60.94  
 1       060223A    4.406      11.32  
 1       060218A    0.0335   2100.    
 1       060210A    3.9122    242.18  
 1       060206A    4.0559      7.55  
 1       060204B    2.3393    139.46  
 1       060202A    0.785     172.16  
 1       060124A    2.3       658.2   
 1       060123A    0.56      900.    
 1       060115A    3.5328    122.21  
 1       060111A    2.32       13.21  
 1       051117B    0.4805      9.01  
 1       051111A    1.55       64.00  
 1       051109B    0.080      13.38  
 1       051109A    2.346      37.20  
 1       051022A    0.8061    178.    
 1       051016B    0.9358      4.02  
 1       051008A    2.77       64.0   
 1       051006A    1.059      26.04  
 1       051001A    2.4295    190.63  
 1       050922C    2.1992      4.54  
 1       050915A    2.5275     53.42  
 1       050908A    3.3467     18.29  
 1       050904A    6.295     181.70  
 1       050826A    0.296      35.73  
 1       050824A    0.8277     24.82  
 1       050822A    1.434     104.12  
 1       050820A    2.6146     26.    
 1       050819A    2.5042     37.72  
 1       050814A    5.3       144.00  
 1       050802A    1.7102     27.46  
 1       050730A    3.9685    145.05  
 1       050714B    2.4383     46.87  
 1       050525A    0.6063      8.84  
 1       050505A    4.2748     58.88  
 1       050502A    3.793      17.5   
 1       050416A    0.6542      6.62  
 1       050408A    1.2356     28.39  
 1       050401A    2.8983     33.30  
 1       050319A    3.2425    151.74  
 1       050318A    1.4436     40.0   
 1       050315A    1.9500     95.57  
 1       050223A    0.584      21.68  
 1       050219A    0.211      23.84  
 1       050215B    2.62       10.62  
 1       050126A    1.2900     48.00  
 1       041219A    0.31      520.    
 1       041006A    0.716      22.08  
 1       040924A    0.858       3.37  
 1       040912A    1.563       9.21  
 1       031203A    0.1055     10.38  
 1       030528A    0.782      62.8   
 1       030429A    2.658      12.95  
 1       030329A    0.1685     25.91  
 1       030328A    1.5216    138.27  
 1       030323A    3.3736     26.    
 1       030226A    1.986      76.23  
 1       030115A    2.         20.33  
 1       021211A    1.006       4.23  
 1       021004A    2.3351     48.94  
 1       020903A    0.251       3.3   
 1       020819B    0.41       20.    
